scenario,size,instance,scale,customers,vehicle_pairs,trial_count,status,elapsed_seconds,offline_obj,offline_objective,avg_actual_cost,mean_actual_cost,worst_actual_cost,avg_fail,average_failed_customers,cost_std,average_online_replanning_seconds,worst_online_replanning_seconds
delta,Small,small_18c_2v_seed1,small,18,2,30,OK,40.3,128.8942692136456,128.8942692136456,128.8216859704021,128.8216859704021,162.57754680043374,8.466666666666667,8.466666666666667,13.488221843288676,0.259679969958961,0.3887582999886945
delta,Small,small_18c_2v_seed2,small,18,2,30,OK,98.6,90.86801680334789,90.86801680334789,87.81461087826132,87.81461087826132,117.07944979933416,7.9,7.9,15.202368469361591,0.7039781233295799,1.1392735001863912
delta,Small,small_18c_2v_seed3,small,18,2,30,OK,225.4,105.67900470992012,105.67900470992012,102.35952376978122,102.35952376978122,126.53149288129312,9.366666666666667,9.366666666666667,14.524922959946394,3.3626135133051624,4.7549244000110775
delta,Small,small_20c_2v_seed1,small,20,2,30,OK,240.9,101.50521098539184,101.50521098539184,102.10240606751628,102.10240606751628,123.326361848594,9.166666666666666,9.166666666666666,16.14175047198124,0.8421853566542268,1.4139740999089554
delta,Small,small_20c_2v_seed2,small,20,2,30,OK,123.2,143.53711108815298,143.53711108815298,143.7752340910468,143.7752340910468,170.65137361325867,9.266666666666667,9.266666666666667,15.19104626450405,2.290770720007519,3.4358586001908407
delta,Small,small_20c_2v_seed3,small,20,2,30,OK,153.0,100.01407184832448,100.01407184832448,102.6697390214514,102.6697390214514,143.92472842245036,9.866666666666667,9.866666666666667,17.433909241312683,2.799248093354981,5.445478999987245
delta,Small,small_8c_1v_seed1,small,8,1,30,OK,8.8,46.74056513848341,46.74056513848341,47.3888807538148,47.3888807538148,58.82824126047856,3.6666666666666665,3.6666666666666665,6.511009582818645,0.0739211299767096,0.1926400001393631
delta,Small,small_8c_1v_seed2,small,8,1,30,OK,8.2,55.14466158386991,55.14466158386991,53.88197376735941,53.88197376735941,79.18215285613442,3.2333333333333334,3.2333333333333334,10.290010485651136,0.0559383433312177,0.142337700119242
delta,Small,small_8c_1v_seed3,small,8,1,30,OK,9.7,45.32096996415437,45.32096996415437,44.27636728921844,44.27636728921844,52.91179025447816,4.2,4.2,5.5884360696244135,0.0542319533259918,0.0987042000051587
epsilon,Small,small_10c_1v_seed1,small,10,1,30,OK,27.4,63.099520338754445,63.099520338754445,64.47480331843745,64.47480331843745,76.70682533908467,3.5,3.5,5.711175002061945,0.2170257066648143,0.3981837999308482
epsilon,Small,small_10c_1v_seed2,small,10,1,30,OK,15.9,80.56115138673113,80.56115138673113,78.5502550333453,78.5502550333453,93.6703891509704,4.533333333333333,4.533333333333333,6.92963824928512,0.1329501666671907,0.1775008001131937
epsilon,Small,small_10c_1v_seed3,small,10,1,30,OK,17.7,63.50620897257254,63.50620897257254,61.95022666975089,61.95022666975089,69.70376020982408,3.966666666666667,3.966666666666667,7.163131740984886,0.0495577500046541,0.0879787001758813
epsilon,Small,small_12c_1v_seed1,small,12,1,30,OK,40.0,62.929806569007525,62.929806569007525,62.51991715045587,62.51991715045587,75.32763525568802,5.0,5.0,8.181031674070226,0.181304146698676,0.3005024002632126
epsilon,Small,small_12c_1v_seed2,small,12,1,30,OK,37.7,80.25794972520299,80.25794972520299,80.07504810235683,80.07504810235683,94.65207203334356,5.333333333333333,5.333333333333333,7.673831459987847,0.2156359999867466,0.3585565999383107
epsilon,Small,small_12c_1v_seed3,small,12,1,30,OK,46.3,58.29507370635379,58.29507370635379,56.04062148086472,56.04062148086472,62.688150680218975,5.7,5.7,3.880589739129233,0.2728013300181677,0.4329770000185817
epsilon,Small,small_15c_1v_seed1,small,15,1,30,OK,98.1,77.22844866582061,77.22844866582061,76.03033768786055,76.03033768786055,92.46949768796372,6.666666666666667,6.666666666666667,6.936589150550206,0.3078936766600236,0.4054531997535378
epsilon,Small,small_15c_1v_seed2,small,15,1,30,OK,86.2,88.69268411046784,88.69268411046784,90.62370215358736,90.62370215358736,111.09109872901205,6.666666666666667,6.666666666666667,7.757741787892944,0.3762077766742246,0.5622138002654538
epsilon,Small,small_15c_1v_seed3,small,15,1,30,OK,117.0,72.00101042106054,72.00101042106054,73.99920443623861,73.99920443623861,84.9638042990533,5.6,5.6,10.381307456264372,0.4343004666773292,0.6426471999147907
epsilon,Small,small_16c_1v_seed1,small,16,1,30,OK,92.4,86.06195644346104,86.06195644346104,85.4128037272546,85.4128037272546,99.71189621344652,7.2,7.2,7.256598201486857,0.4446723666313725,0.7110885998699814
epsilon,Small,small_16c_1v_seed2,small,16,1,30,OK,117.5,105.76062506152928,105.76062506152928,109.3490113202004,109.3490113202004,126.59311422847388,6.533333333333333,6.533333333333333,12.67517549846039,0.4252222199846679,0.769184299861081
epsilon,Small,small_16c_1v_seed3,small,16,1,30,OK,139.9,65.73461400370127,65.73461400370127,69.42468962277418,69.42468962277418,83.09163957957122,6.633333333333334,6.633333333333334,7.894807948541146,0.3609115999774076,0.5538612998789176
epsilon,Small,small_18c_2v_seed1,small,18,2,30,OK,39.8,128.3976206270438,128.3976206270438,125.7722908078442,125.7722908078442,141.593542324277,8.033333333333333,8.033333333333333,10.723876913560806,0.1928859533392824,0.2894563999725505
epsilon,Small,small_18c_2v_seed2,small,18,2,30,OK,94.2,88.86549199675851,88.86549199675851,96.39331173910384,96.39331173910384,125.18014762692064,7.633333333333334,7.633333333333334,14.83977904027808,1.09061888003489,1.7166013002861291
epsilon,Small,small_18c_2v_seed3,small,18,2,30,OK,187.4,92.32679897614295,92.32679897614295,91.44283506571529,91.44283506571529,114.1720732010081,8.6,8.6,9.46527120283039,2.666466299976067,3.46948620013427
epsilon,Small,small_20c_2v_seed1,small,20,2,30,OK,177.5,95.76279716136357,95.76279716136357,97.6218250201621,97.6218250201621,117.97397884500154,9.233333333333333,9.233333333333333,8.394410775361228,0.851877573338182,1.2813846002100036
epsilon,Small,small_20c_2v_seed2,small,20,2,30,OK,89.2,143.02044239753056,143.02044239753056,140.60005911570804,140.60005911570804,158.45365380552784,9.166666666666666,9.166666666666666,9.45070360573426,0.8560156099731102,2.292138200136833
epsilon,Small,small_20c_2v_seed3,small,20,2,30,OK,118.9,89.97954551542281,89.97954551542281,94.38265019121243,94.38265019121243,115.77757001205632,9.0,9.0,11.426035247688215,1.105255240035088,1.4848337998846546
epsilon,Small,small_8c_1v_seed1,small,8,1,30,OK,9.0,47.31448424867854,47.31448424867854,47.927665053433074,47.927665053433074,54.2179125566189,3.733333333333333,3.733333333333333,3.797519675263161,0.0784735133056528,0.2084183000260964
epsilon,Small,small_8c_1v_seed2,small,8,1,30,OK,8.9,58.13135130343794,58.13135130343794,59.45141453664967,59.45141453664967,79.37037630816437,3.9,3.9,5.804668554334373,0.0683908799857211,0.2416095997905358
epsilon,Small,small_8c_1v_seed3,small,8,1,30,OK,10.7,42.96161726199836,42.96161726199836,42.26329729026061,42.26329729026061,48.85560591746813,3.5,3.5,3.045536314361667,0.1189844466629438,0.260635600076057
alpha,Medium,medium_100c_7v_seed1,medium,100,7,30,OK,1400.0,277.01513400666903,277.01513400666903,277.01513400666903,277.01513400666903,277.01513400666903,0.0,0.0,0.0,0.0,0.0
alpha,Medium,medium_100c_7v_seed2,medium,100,7,30,OK,1286.9,292.1627445003596,292.1627445003596,292.16274450035945,292.16274450035945,292.16274450035945,0.0,0.0,0.0,0.0,0.0
alpha,Medium,medium_100c_7v_seed3,medium,100,7,30,OK,1159.5,283.24135806475334,283.24135806475334,283.24135806475334,283.24135806475334,283.24135806475334,0.0,0.0,0.0,0.0,0.0
alpha,Medium,medium_30c_2v_seed1,medium,30,2,30,OK,282.2,80.99656224904183,80.99656224904183,80.99656224904183,80.99656224904183,80.99656224904183,0.0,0.0,0.0,0.0,0.0
