experiment,instance_class,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,instance_count,z_total_mean_across_instances_mean,z_total_mean_across_instances_std,solve_seconds_mean_across_instances_mean,solve_seconds_mean_across_instances_std,unserved_count_mean_across_instances_mean,unserved_count_mean_across_instances_std,sortie_count_mean_across_instances_mean,sortie_count_mean_across_instances_std,avg_customers_per_sortie_mean_across_instances_mean,avg_customers_per_sortie_mean_across_instances_std,drone_utilization_mean_across_instances_mean,drone_utilization_mean_across_instances_std,sortie_feasible_rate_mean_across_instances_mean,sortie_feasible_rate_mean_across_instances_std,online_success_rate_mean_across_instances_mean,online_success_rate_mean_across_instances_std,mc_mean_mean_across_instances_mean,mc_mean_mean_across_instances_std,mc_std_mean_across_instances_mean,mc_std_mean_across_instances_std,z_fixed_ratio_mean_across_instances_mean,z_fixed_ratio_mean_across_instances_std,z_truck_ratio_mean_across_instances_mean,z_truck_ratio_mean_across_instances_std,z_drone_ratio_mean_across_instances_mean,z_drone_ratio_mean_across_instances_std,z_fail_expected_ratio_mean_across_instances_mean,z_fail_expected_ratio_mean_across_instances_std,z_unserved_penalty_ratio_mean_across_instances_mean,z_unserved_penalty_ratio_mean_across_instances_std
5.2,deterministic,small,speed_only,drone_speed_factor,0.75,0.75,2,False,3,60.457669890948665,10.233375401358957,104.81217900003928,32.06542045529188,0.0,0.0,2.6666666666666665,0.5773502691896257,1.6666666666666667,0.33333333333333337,0.31233211233211233,0.06331947991597109,0.0008411053052554222,0.00021958978500753563,68.88888888888889,13.877773329774216,71.1946496499613,23.538885424574115,0.7040451755268973,0.9964016650500741,0.3703521736577656,0.05727428918971604,0.24864526043361668,0.036285492566589396,0.03403915222240338,0.0035849871220693347,0.3469634136862143,0.04215358614983221,0.0,0.0
5.2,deterministic,small,speed_only,drone_speed_factor,0.85,0.85,3,False,3,60.405615047457026,11.701531867699556,110.54112519999035,27.86117827670955,0.0,0.0,2.6666666666666665,0.5773502691896257,1.7222222222222223,0.2545875386086578,0.3308913308913309,0.09892370745069153,0.0008411053052554222,0.00021958978500753563,68.88888888888889,13.877773329774216,70.01344293816355,24.175718786769906,0.08257665959647677,0.09229650365064501,0.37267966372582917,0.06570797208083494,0.22301909369677222,0.04000129106544412,0.04362635681795005,0.01556664258645316,0.3606748857594486,0.05056487872486343,0.0,0.0
5.2,deterministic,small,speed_only,drone_speed_factor,1.0,1.0,4,True,3,60.39733510061456,11.654646281072417,96.5674157665732,37.173718667601044,0.0,0.0,3.0,1.7320508075688772,1.3333333333333333,0.5773502691896257,0.2576312576312576,0.09298066599998007,0.0007231946815082225,0.00010988840976192253,68.88888888888889,13.877773329774216,71.97305018899006,26.325568463155527,0.08209198556268282,0.04677976247793502,0.37278358225358466,0.06647389481570125,0.2516524772598874,0.06075761817419655,0.038999320809105606,0.019104320460562214,0.3365646196774224,0.03537284079946004,0.0,0.0
5.2,deterministic,small,speed_only,drone_speed_factor,1.15,1.15,5,False,3,61.79617992805136,10.934015621865877,87.25324540010963,26.457408387645646,0.0,0.0,2.6666666666666665,0.5773502691896257,1.6666666666666667,0.33333333333333337,0.31233211233211233,0.06331947991597109,0.0007231946815082225,0.00010988840976192253,68.88888888888889,13.877773329774216,72.57749486226898,21.896620468282258,0.37900703671867436,0.37439754802377573,0.3630465364314005,0.05979807133172028,0.26543931340762617,0.017025692729599574,0.043530519582446,0.004021051059343497,0.32798363057852736,0.07511182329753696,0.0,0.0
5.2,deterministic,small,speed_only,drone_speed_factor,1.3,1.3,6,False,3,62.66557625446309,10.504076740056014,95.28324963338673,38.99621620138394,0.0,0.0,3.6666666666666665,1.1547005383792515,1.1111111111111112,0.1924500897298752,0.2851037851037851,0.06265592481781675,0.000605284057761023,0.00024361597376829528,68.88888888888889,13.877773329774216,74.39058227024886,22.326695097074822,0.3382135407134087,0.38903963505997996,0.3572650619543968,0.05552060891685043,0.2812911731378742,0.05106136613599989,0.04584298856988993,0.013506396112741736,0.315600776337839,0.08191916988512392,0.0,0.0
5.2,deterministic,small,speed_only,drone_speed_factor,1.5,1.5,7,False,3,62.97901101450649,9.481236933331255,119.50825703330338,54.958108188801,0.0,0.0,2.3333333333333335,0.5773502691896257,1.0,0.0,0.16556776556776556,0.030321175218424735,0.0006986285924385176,0.0003889022128268099,68.88888888888889,13.877773329774216,74.836412432182,23.175883443816556,0.06347002490676915,0.06318283285048741,0.35429669354771,0.04960271337343265,0.29444722482668007,0.03073588579477097,0.031884328982932135,0.010862440354399991,0.31937175264267775,0.05339296452982095,0.0,0.0
5.3,deterministic,large,random_ratio,drone_serviceable_ratio,0.2,20.0,1,False,3,1220.185939591349,27.640663069498494,710.3699038665897,51.35175837078937,0.0,0.0,14.0,1.0,1.0735042735042735,0.0771506604881829,0.5442086648983201,0.06224008544219288,0.004026571943885143,0.0008661544787883506,69.11111111111111,7.897491397296381,1588.8181957700049,315.6156101024274,4.881159975030534,1.9234197251971852,0.16232615700744701,0.0036956100242351454,0.32091949375367296,0.011958051307546458,0.00879973871179849,0.0005337546999063015,0.5079546105270815,0.012028400810999052,0.0,0.0
5.3,deterministic,large,random_ratio,drone_serviceable_ratio,0.35,35.0,2,False,3,1210.806983004452,32.37923374601742,779.7294766333265,83.02926610115307,0.0,0.0,17.333333333333332,1.1547005383792515,1.1574074074074074,0.09755234956345128,0.41369047619047616,0.01657072727032745,0.0019149418415229597,0.00028686211197241184,69.11111111111111,7.897491397296381,1564.1221605275975,325.6519533517222,4.531154963666711,4.3683709351174835,0.15749179824259518,0.01022074539156975,0.3039558385528927,0.007532091599203083,0.011269591071448542,0.0004948096034237123,0.5272827721330636,0.007450277044605178,0.0,0.0
5.3,deterministic,large,random_ratio,drone_serviceable_ratio,0.5,50.0,3,True,3,1220.6279891920717,28.624689811871413,915.2678172000063,135.3789044899029,0.0,0.0,20.0,1.0,1.219548872180451,0.08810798240776099,0.3493298285497774,0.003142059596537173,0.0009710569460619023,0.00018006840030270426,69.11111111111111,7.897491397296381,1551.8738668705234,305.35522309091584,6.753577816854531,3.7365496357438044,0.16227108414953167,0.0038061795836816284,0.28979037183890455,0.005045537407478868,0.012568197882662379,0.0007572022925497986,0.5353703461289013,0.0027593691030106914,0.0,0.0
5.3,deterministic,large,random_ratio,drone_serviceable_ratio,0.75,75.0,4,False,3,1167.922547365419,55.83521346974785,1473.3770443000055,626.8628708505915,0.0,0.0,22.0,6.082762530298219,1.2675213675213675,0.13334155135752265,0.274408505540581,0.09933196994407975,0.0004938205100147166,0.00012396384552006053,69.11111111111111,7.897491397296381,1526.898015108348,335.38847319941976,5.552471031887141,2.4424715796434513,0.15707031238113267,0.01009278595028928,0.29588250147453293,0.020172263454055987,0.01567244236476771,0.004687151652746782,0.5313747437795667,0.02341294888974551,0.0,0.0
5.3,deterministic,large,random_ratio,drone_serviceable_ratio,1.0,100.0,5,False,3,1194.7432183810313,33.52640525220921,3024.6296144334287,1849.1234890550897,0.0,0.0,25.0,2.6457513110645907,1.2439782439782439,0.13318029045231056,0.22721822541966427,0.04746066302881242,0.0002509554815166598,9.546242791502861e-05,69.11111111111111,7.897491397296381,1515.1647968715015,324.73964938011017,3.882377723802209,0.2486013758909887,0.1597209798990399,0.012542564993717283,0.27339337395409985,0.021936725884573814,0.01696579477654704,0.00356816468820438,0.5499198513703132,0.034062099140294295,0.0,0.0
5.3,deterministic,medium,random_ratio,drone_serviceable_ratio,0.2,20.0,1,False,3,308.8315611916377,16.230370832365317,238.74938623343283,47.72156456537351,0.0,0.0,5.0,1.7320508075688772,1.1666666666666667,0.28867513459481287,0.48737373737373735,0.13474062193893033,0.004495077761219447,0.0020408792233259122,73.88888888888889,3.4694433324435563,374.6979016007294,20.62092844697349,2.095899008130932,1.5959497991711287,0.21411461827548656,0.011585499422452853,0.31627516457105753,0.03630729405790223,0.012307648124589331,0.003878138468599902,0.4573025690288667,0.03360061792906534,0.0,0.0
