experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,repeat_index,seed,z_total,solve_seconds,unserved_count,sortie_count,avg_customers_per_sortie,drone_serviceable_count,drone_served_customers,drone_utilization,sortie_attempted,sortie_selected,sortie_feasible_rate,z_fixed,z_truck,z_drone,z_fail_expected,z_unserved_penalty,z_tw_penalty,z_fixed_ratio,z_truck_ratio,z_drone_ratio,z_fail_expected_ratio,z_unserved_penalty_ratio,z_tw_penalty_ratio,online_success_rate,mc_mean,mc_std
5.1,deterministic,small_15c_1v_seed1.json,small,penalty_multiplier,failure_penalty_multiplier,10.0,10.0,5,False,1,2026,200.58664205126394,102.53820029995404,0.0,4.0,1.5,15.0,6.0,0.4,9646.0,4.0,0.00041467965996267884,22.0,19.459412192233955,3.443765553053693,155.6834643059763,0.0,0.0,0.10967829051337057,0.09701250289269368,0.017168469035807328,0.7761407375581284,0.0,0.0,73.33333333333333,280.42283518904145,0.0
5.1,deterministic,small_15c_1v_seed2.json,small,penalty_multiplier,failure_penalty_multiplier,1.0,1.0,1,True,1,2026,73.5557314345551,63.59883249993436,0.0,2.0,1.0,13.0,2.0,0.15384615384615385,5654.0,4.0,0.0007074637424831977,22.0,23.5501390499429,1.2975788973576838,26.70801348725451,0.0,0.0,0.29909294042673085,0.32016728799571814,0.017640758538472037,0.36309901303907893,0.0,0.0,53.333333333333336,102.18758111090304,0.10312755537875362
5.1,deterministic,small_15c_1v_seed2.json,small,penalty_multiplier,failure_penalty_multiplier,2.0,2.0,2,False,1,2026,100.24748441625286,60.743965100031346,0.0,2.0,1.5,13.0,3.0,0.23076923076923078,5654.0,4.0,0.0007074637424831977,22.0,28.800580198923758,1.6747341381540473,47.772170079175055,0.0,0.0,0.2194568784255019,0.2872947921499604,0.016705996643268658,0.47654233278126906,0.0,0.0,53.333333333333336,163.2105370047252,0.0
5.1,deterministic,small_15c_1v_seed2.json,small,penalty_multiplier,failure_penalty_multiplier,3.0,3.0,3,False,1,2026,124.10786621441265,64.89180159987882,0.0,2.0,1.0,13.0,2.0,0.15384615384615385,5654.0,4.0,0.0007074637424831977,22.0,29.023868192725583,1.4257429029244855,71.65825511876258,0.0,0.0,0.17726515386214206,0.23386002094809233,0.011487933411580272,0.5773868917781854,0.0,0.0,53.333333333333336,216.61315182665894,1.3965615047201696
5.1,deterministic,small_15c_1v_seed2.json,small,penalty_multiplier,failure_penalty_multiplier,5.0,5.0,4,False,1,2026,170.98979382742576,67.26147340005264,0.0,1.0,1.0,13.0,1.0,0.07692307692307693,5654.0,4.0,0.0007074637424831977,22.0,31.652201342185165,0.6325374438138102,116.70505504142677,0.0,0.0,0.12866265001877164,0.18511164107333017,0.003699270170781122,0.682526438737117,0.0,0.0,53.333333333333336,331.5056488366405,0.6275465306410394
5.1,deterministic,small_15c_1v_seed2.json,small,penalty_multiplier,failure_penalty_multiplier,10.0,10.0,5,False,1,2026,286.3950842117488,75.05654939985834,0.0,1.0,1.0,13.0,1.0,0.07692307692307693,5654.0,4.0,0.0007074637424831977,22.0,41.496137485907006,0.6336412657710189,222.26530546007078,0.0,0.0,0.07681696094942084,0.14489123512757804,0.0022124725622124524,0.7760793313607888,0.0,0.0,53.333333333333336,619.5316472580209,0.0
5.1,deterministic,small_15c_1v_seed3.json,small,penalty_multiplier,failure_penalty_multiplier,1.0,1.0,1,True,1,2026,51.37411680767965,89.36155520007014,0.0,2.0,2.0,14.0,4.0,0.2857142857142857,7142.0,6.0,0.0008401008120974517,22.0,11.839848715593867,2.306703827513723,15.227564264572061,0.0,0.0,0.4282312060440392,0.230463304311715,0.04490011645648195,0.29640537318776394,0.0,0.0,80.0,53.976641985824,0.1146610290291858
5.1,deterministic,small_15c_1v_seed3.json,small,penalty_multiplier,failure_penalty_multiplier,2.0,2.0,2,False,1,2026,68.30827139370194,91.02477319980972,0.0,1.0,1.0,14.0,1.0,0.07142857142857142,7142.0,6.0,0.0008401008120974517,22.0,20.81676507238899,0.6449402659263747,24.84656605538659,0.0,0.0,0.32206934169363877,0.3047473555934297,0.009441613039937628,0.36374168967299403,0.0,0.0,80.0,79.54822244268382,1.4585263724345447
5.1,deterministic,small_15c_1v_seed3.json,small,penalty_multiplier,failure_penalty_multiplier,3.0,3.0,3,False,1,2026,81.34334877842645,90.939601900056,0.0,2.0,1.0,14.0,2.0,0.14285714285714285,7142.0,6.0,0.0008401008120974517,22.0,20.805434808716768,1.0119329190818211,37.52598105062786,0.0,0.0,0.27045849882485723,0.25577303026199855,0.012440266282105684,0.46132820463103863,0.0,0.0,80.0,98.0668206269115,1.3046246638801808
5.1,deterministic,small_15c_1v_seed3.json,small,penalty_multiplier,failure_penalty_multiplier,5.0,5.0,4,False,1,2026,106.40292005186157,77.43991890014149,0.0,2.0,2.0,14.0,4.0,0.2857142857142857,7142.0,6.0,0.0008401008120974517,22.0,19.43452163746592,2.0276520560909472,62.94074635830471,0.0,0.0,0.2067612429177417,0.18265026587609992,0.01905635724191267,0.5915321339642458,0.0,0.0,80.0,136.13787187535803,0.511399895644952
5.1,deterministic,small_15c_1v_seed3.json,small,penalty_multiplier,failure_penalty_multiplier,10.0,10.0,5,False,1,2026,167.6945356152483,75.70552229997702,0.0,1.0,1.0,14.0,1.0,0.07142857142857142,7142.0,6.0,0.0008401008120974517,22.0,20.81676507238899,0.6449402659263747,124.23283027693293,0.0,0.0,0.1311909175769205,0.12413502321954098,0.0038459229667811004,0.7408281362367574,0.0,0.0,80.0,227.99838526582352,0.39127601520610256
