experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,target_serviceable_count,ratio_seed,repeat_index,seed,z_total,solve_seconds,unserved_count,sortie_count,avg_customers_per_sortie,drone_serviceable_count,drone_served_customers,drone_utilization,sortie_attempted,sortie_selected,sortie_feasible_rate,z_fixed,z_truck,z_drone,z_fail_expected,z_unserved_penalty,z_tw_penalty,z_fixed_ratio,z_truck_ratio,z_drone_ratio,z_fail_expected_ratio,z_unserved_penalty_ratio,z_tw_penalty_ratio,online_success_rate,mc_mean,mc_std
5.3,deterministic,large_150c_9v_seed3.json,large,random_ratio,drone_serviceable_ratio,0.2,20.0,1,False,30,2043,1,2026,1224.1522278784055,710.0865262998268,0.0,13.0,1.1538461538461537,29.0,15.0,0.5172413793103449,5064.0,20.0,0.0039494470774091624,198.0,376.11163723049737,11.39923769615506,638.6413529517531,0.0,0.0,0.1617445898400695,0.3072425378683021,0.009311944574010399,0.521700927717618,0.0,0.0,74.0,1358.607374408879,2.804383098037592
5.3,deterministic,large_150c_9v_seed3.json,large,random_ratio,drone_serviceable_ratio,0.35,35.0,2,False,52,2060,1,2026,1199.7125624912148,730.4930054999422,0.0,18.0,1.0555555555555556,48.0,19.0,0.3958333333333333,12693.0,28.0,0.002205940282045222,176.0,367.9084581574193,14.007899933410554,641.796204400385,0.0,0.0,0.1467018063347893,0.3066638373723901,0.011676046722660812,0.5349583095701598,0.0,0.0,74.0,1330.2675285968223,9.571288745933227
5.3,deterministic,large_150c_9v_seed3.json,large,random_ratio,drone_serviceable_ratio,0.5,50.0,3,True,75,2077,1,2026,1220.5741149684002,925.5797824999318,0.0,19.0,1.3157894736842106,72.0,25.0,0.3472222222222222,35276.0,37.0,0.0010488717541671392,198.0,358.5263584211208,14.450613470040532,649.5971430772389,0.0,0.0,0.16221874409087078,0.293735836295695,0.011839193780063612,0.5322062258333706,0.0,0.0,74.0,1342.386531661262,10.303912157061855
5.3,deterministic,large_150c_9v_seed3.json,large,random_ratio,drone_serviceable_ratio,0.75,75.0,4,False,112,2094,1,2026,1205.4891868776772,1211.5756260000635,0.0,25.0,1.4,100.0,35.0,0.35,67837.0,43.0,0.0006338723705352536,176.0,345.9761211054563,21.138641087855646,662.3744246843653,0.0,0.0,0.1459988209897224,0.2870006009772388,0.017535322023589928,0.549465256009449,0.0,0.0,74.0,1319.569431759173,8.352896915305598
5.3,deterministic,large_150c_9v_seed3.json,large,random_ratio,drone_serviceable_ratio,1.0,100.0,5,False,150,2111,1,2026,1203.5716618123488,2204.1832014000975,0.0,26.0,1.3076923076923077,136.0,34.0,0.25,160158.0,57.0,0.00035589855018169556,176.0,299.03382586330156,22.228745488371143,706.309090460676,0.0,0.0,0.14623142566764796,0.24845535612978276,0.018468983770271646,0.5868442344322976,0.0,0.0,74.0,1268.4147664640125,3.859835510956121
5.3,deterministic,medium_60c_4v_seed1.json,medium,random_ratio,drone_serviceable_ratio,0.2,20.0,1,False,12,2043,1,2026,316.2954530990661,215.88973330007866,0.0,7.0,1.0,12.0,7.0,0.5833333333333334,2149.0,5.0,0.002326663564448581,66.0,112.85614671325925,5.064198494608376,132.3751078911985,0.0,0.0,0.2086656616569455,0.3568060988784175,0.016010974691508546,0.4185172647731285,0.0,0.0,75.0,398.3499916847589,1.994260462270293
5.3,deterministic,medium_60c_4v_seed1.json,medium,random_ratio,drone_serviceable_ratio,0.35,35.0,2,False,21,2060,1,2026,315.80115796640007,191.2831007000059,0.0,5.0,1.2,20.0,6.0,0.3,4313.0,10.0,0.002318571759795966,88.0,113.05059010872839,4.212216268326408,110.53835158934524,0.0,0.0,0.2786563563182464,0.3579802899923391,0.013338191333594067,0.3500251623558203,0.0,0.0,75.0,419.35139656247065,1.576788770545612
5.3,deterministic,medium_60c_4v_seed1.json,medium,random_ratio,drone_serviceable_ratio,0.5,50.0,3,True,30,2077,1,2026,307.53757324673734,366.67502800002694,0.0,7.0,1.1428571428571428,30.0,8.0,0.26666666666666666,21427.0,9.0,0.00042003080225883234,66.0,89.18672761158248,4.7607049916949125,147.59014064345993,0.0,0.0,0.2146079235236997,0.29000270331205347,0.015480075951159957,0.47990929721308684,0.0,0.0,75.0,377.4257041373812,1.5046798207676997
5.3,deterministic,medium_60c_4v_seed1.json,medium,random_ratio,drone_serviceable_ratio,0.75,75.0,4,False,45,2094,1,2026,322.13867339113943,713.6418463999871,0.0,8.0,1.125,43.0,9.0,0.20930232558139536,47951.0,15.0,0.0003128193364059144,88.0,109.67251243653719,5.641571321454182,118.82458963314805,0.0,0.0,0.2731742794915864,0.34045124505548974,0.017512865692484583,0.3688616097604392,0.0,0.0,75.0,415.0625522726259,1.194387323773995
5.3,deterministic,medium_60c_4v_seed1.json,medium,random_ratio,drone_serviceable_ratio,1.0,100.0,5,False,60,2111,1,2026,311.3601029956373,1176.1096026999876,0.0,6.0,1.5,57.0,9.0,0.15789473684210525,80462.0,18.0,0.00022370808580447914,66.0,109.26730466428779,6.152549564778203,129.9402487665713,0.0,0.0,0.21197320840083603,0.35093547186364726,0.019760237440775805,0.41733108229474086,0.0,0.0,75.0,392.0048066091416,1.2542157482751337
