experiment,instance_class,instance_name,instance_scale,analysis_mode,parameter_name,parameter_value,x_numeric,parameter_order,is_baseline,drone_capacity_factor,drone_speed_factor,drone_battery_factor,repeat_index,seed,z_total,solve_seconds,unserved_count,sortie_count,avg_customers_per_sortie,drone_serviceable_count,drone_served_customers,drone_utilization,sortie_attempted,sortie_selected,sortie_feasible_rate,z_fixed,z_truck,z_drone,z_fail_expected,z_unserved_penalty,z_tw_penalty,z_fixed_ratio,z_truck_ratio,z_drone_ratio,z_fail_expected_ratio,z_unserved_penalty_ratio,z_tw_penalty_ratio,online_success_rate,mc_mean,mc_std
5.2,deterministic,large_150c_9v_seed3.json,large,speed_only,drone_speed_factor,1.5,1.5,7,False,1.0,1.5,1.0,1,2026,1183.6294035264036,1651.7316187000833,0.0,31.0,1.032258064516129,136.0,32.0,0.23529411764705882,160158.0,53.0,0.00033092321332683976,176.0,315.0688824775138,26.368077320599195,666.1924437282906,0.0,0.0,0.14869519080519691,0.2661887931634891,0.022277308456549332,0.5628387075747647,0.0,0.0,74.0,1295.404365505746,2.2358505881777884
5.2,deterministic,medium_60c_4v_seed1.json,medium,speed_only,drone_speed_factor,0.6,0.6,1,False,1.0,0.6,1.0,1,2026,305.1421925961403,948.7675913001876,0.0,9.0,1.2222222222222223,57.0,11.0,0.19298245614035087,80462.0,22.0,0.00027342099376103003,88.0,107.12695151759155,5.419968956972217,104.59527212157654,0.0,0.0,0.2883901411709037,0.3510722349018953,0.01776210923458106,0.3427755146926199,0.0,0.0,75.0,415.91013198595437,1.387806322168944
5.2,deterministic,medium_60c_4v_seed1.json,medium,speed_only,drone_speed_factor,0.75,0.75,2,False,1.0,0.75,1.0,1,2026,311.422686547278,1113.7097049001604,0.0,9.0,1.5555555555555556,57.0,14.0,0.24561403508771928,80462.0,20.0,0.0002485645397827546,66.0,85.83655770991166,7.0304705355733,152.55565830179302,0.0,0.0,0.21193061023182827,0.27562718266153213,0.022575331982135422,0.48986687512450416,0.0,0.0,75.0,372.9628145556344,1.489050792126295
5.2,deterministic,medium_60c_4v_seed1.json,medium,speed_only,drone_speed_factor,0.85,0.85,3,False,1.0,0.85,1.0,1,2026,295.1368524047706,967.5751586998813,0.0,10.0,1.3,57.0,13.0,0.22807017543859648,80462.0,20.0,0.0002485645397827546,66.0,83.17416762048765,7.395190696074257,138.5674940882087,0.0,0.0,0.2236250724443017,0.2818155948428188,0.02505681901740957,0.4695025136954699,0.0,0.0,75.0,371.70450063738355,2.234533283142144
5.2,deterministic,medium_60c_4v_seed1.json,medium,speed_only,drone_speed_factor,1.0,1.0,4,True,1.0,1.0,1.0,1,2026,311.3601029956373,1069.6824708001222,0.0,6.0,1.5,57.0,9.0,0.15789473684210525,80462.0,18.0,0.00022370808580447914,66.0,109.26730466428779,6.152549564778203,129.9402487665713,0.0,0.0,0.21197320840083603,0.35093547186364726,0.019760237440775805,0.41733108229474086,0.0,0.0,75.0,392.0048066091416,1.2542157482751337
5.2,deterministic,medium_60c_4v_seed1.json,medium,speed_only,drone_speed_factor,1.15,1.15,5,False,1.0,1.15,1.0,1,2026,308.49284527638133,1018.9635294000618,0.0,10.0,1.6,57.0,16.0,0.2807017543859649,80462.0,17.0,0.00021127985881534141,66.0,84.1018612212008,9.728533946464658,148.66245010871586,0.0,0.0,0.21394337343827227,0.2726217560924411,0.03153568744114238,0.4818991830281442,0.0,0.0,75.0,373.5723211153719,1.6915902351990293
5.2,deterministic,medium_60c_4v_seed1.json,medium,speed_only,drone_speed_factor,1.3,1.3,6,False,1.0,1.3,1.0,1,2026,320.2803343804924,908.4977158000693,0.0,12.0,1.1666666666666667,57.0,14.0,0.24561403508771928,80462.0,18.0,0.00022370808580447914,66.0,89.44709924502743,10.079466363473161,154.75376877199182,0.0,0.0,0.2060694738803168,0.27927752547792856,0.031470762583564606,0.48318223805819016,0.0,0.0,75.0,379.034390895566,2.897647012691042
5.2,deterministic,medium_60c_4v_seed1.json,medium,speed_only,drone_speed_factor,1.5,1.5,7,False,1.0,1.5,1.0,1,2026,317.7304103427867,853.1474085999653,0.0,14.0,1.0,57.0,14.0,0.24561403508771928,80462.0,17.0,0.00021127985881534141,88.0,94.28134875032383,10.424016402800225,125.02504518966263,0.0,0.0,0.276964360776988,0.2967337896571104,0.032807739087845476,0.3934941104780562,0.0,0.0,75.0,407.3728437871515,1.1862858981968671
5.2,deterministic,medium_60c_4v_seed2.json,medium,speed_only,drone_speed_factor,0.6,0.6,1,False,1.0,0.6,1.0,1,2026,330.77443109074454,2021.9344760999084,0.0,11.0,1.4545454545454546,56.0,16.0,0.2857142857142857,60869.0,25.0,0.00041071809952520987,88.0,93.87728646941497,6.849428746990209,142.0477158743394,0.0,0.0,0.2660423289364168,0.283810590074481,0.020707249724242257,0.42943983126485996,0.0,0.0,76.66666666666667,381.7918392613693,0.7854253179991644
5.2,deterministic,medium_60c_4v_seed2.json,medium,speed_only,drone_speed_factor,0.75,0.75,2,False,1.0,0.75,1.0,1,2026,329.1935547788096,2183.924781000009,0.0,6.0,1.6666666666666667,56.0,10.0,0.17857142857142858,60869.0,22.0,0.0003614319275821847,88.0,99.1371279649417,5.250273999020185,136.80615281484768,0.0,0.0,0.26731993601493387,0.3011514852760514,0.015948896698624395,0.41557968201039025,0.0,0.0,76.66666666666667,381.53324411211366,2.203658659853586
5.2,deterministic,medium_60c_4v_seed2.json,medium,speed_only,drone_speed_factor,0.85,0.85,3,False,1.0,0.85,1.0,1,2026,327.6914491629195,2127.000172900036,0.0,11.0,1.0,56.0,11.0,0.19642857142857142,60869.0,21.0,0.0003450032036011763,88.0,91.76870169645893,8.321264965104382,139.60148250135617,0.0,0.0,0.26854530450762154,0.2800460675152801,0.025393598112983622,0.42601502986411466,0.0,0.0,76.66666666666667,375.3612329163519,2.654386833024383
