instance,size,n_customers,n_vehicles,seed,E_avg_cost,D_avg_cost,C_avg_cost,delta_cost_D_vs_E_pct,delta_cost_C_vs_E_pct,delta_cost_C_vs_D_pct,E_worst_cost,D_worst_cost,C_worst_cost,E_avg_fail,D_avg_fail,C_avg_fail,delta_fail_D_vs_E_pct,delta_fail_C_vs_E_pct,E_cost_std,D_cost_std,C_cost_std,E_online_time,D_online_time,C_online_time,online_time_overhead_pct,C_win_rate_vs_E,D_win_rate_vs_E,paired_cost_C_vs_E,trial_count
large_200c_13v_seed2,Large,200,13,2,2106.4071072946485,2123.1103206047715,2063.075460976517,-0.7929717504407584,2.057135402177031,2.8276844140229707,2508.140465816504,2508.140465816504,2516.3717084422765,52.2,52.12,48.41,0.1532567020449011,7.260536259376712,172.89563576257865,178.14666822873585,187.30220568065332,0.06764346206560731,0.1019962980458513,55.18277971417177,54002.19855957872,62.0,3.0,-43.33164631813119,100
large_200c_13v_seed3,Large,200,13,3,2033.8091648397196,2040.9484848070806,1925.6738210007968,-0.3510319498399741,5.316887430165788,5.648092769827067,2498.794029281185,2498.794029281185,2384.8059001195534,52.14,52.03,47.57,0.2109704600887895,8.764863660052482,181.50487925121598,182.11304591466146,173.19571448968597,0.04783948409371078,0.05512308806646615,22.99504851602018,41615.06563209496,81.0,1.0,-108.13534383892282,100
large_250c_15v_seed1,Large,250,15,1,2655.131155055046,2668.3553316819407,2581.298002691948,-0.49806114480324787,2.7807723254095533,3.262583807948766,3119.5978858971357,3139.9056536209464,3157.9651000894455,62.36,62.18,58.96,0.2886465636843074,5.452212869592479,207.93311110580305,209.14713382105506,211.93781791315337,0.12834534887690097,0.11958299081306904,70.46565581635106,58825.66081567002,74.0,12.0,-73.83315236309731,100
large_250c_15v_seed2,Large,250,15,2,2875.5473451189728,2894.3362309643326,2752.6949403181807,-0.6534020689053349,4.272313756520994,4.893740026844081,3437.358925670213,3437.358925670213,3632.9292697052333,69.05,68.9,62.31,0.21723388534055413,9.76104258130278,211.8958074638652,218.78627028391122,243.09681462003533,0.08542107400018722,0.06728738819248975,51.65390960004646,76664.96939157134,73.0,0.0,-122.85240480079219,100
large_250c_15v_seed3,Large,250,15,3,2740.90717446942,2747.825898657965,2555.927745855234,-0.25242460791777976,6.748839593591634,6.9836357862575476,3266.6984412914617,3303.1127791259155,3044.291713303742,64.04,63.94,56.38,0.1561524023086891,11.961274016844571,205.60395853449467,206.54468626382146,211.47588020120224,0.12876475534401835,0.15460835710633547,55.26601675986312,35645.584092852085,91.0,4.0,-184.97942861418497,100
large_280c_18v_seed1,Large,280,18,1,3322.058580874938,3328.7243716685516,3160.174487686838,-0.20065241570358278,4.873005374440574,5.063497759570482,4259.006561383108,4259.006561383108,3924.7554250497096,69.75,69.49,63.49,0.3727598512866045,8.974910265592682,253.21137503103753,253.66455026210647,215.83333239746307,0.07529731697402894,0.08244572436902672,20.327056169966237,24554.778374194124,83.0,26.0,-161.88409318810102,100
large_280c_18v_seed2,Large,280,18,2,3454.427509274246,3488.808266084371,3266.9987215201054,-0.9952664144151728,5.425755418255056,6.357745328699631,3966.5943207460414,4048.4425100368926,3786.7950675256484,70.45,70.19,63.65,0.3690560628948822,9.652235491096734,234.4317052260442,240.09778006671849,219.34125562931035,0.09311665723565966,0.10070117675233632,13.605151802334003,13410.286709883221,83.0,5.0,-187.4287877541391,100
large_280c_18v_seed3,Large,280,18,3,3354.956091297793,3380.9409067196475,3174.3061419540895,-0.7745202832685268,5.384569706062026,6.111753220970816,4028.0482352291374,4064.085551500185,4015.2450447055617,71.84,71.2,64.45,0.8908685844812287,10.28674818643168,259.122952580681,263.3966943149055,238.01585944959885,0.09012242916971445,0.10495278685353697,21.343463085014374,20236.059064547313,82.0,23.0,-180.6499493437041,100
large_300c_20v_seed1,Large,300,20,1,3397.5916880035857,3420.9451650406695,3184.917849912477,-0.6873538430041981,6.259546691323443,6.89947671597322,4009.816661825911,4008.4507972285674,3794.9508016743084,75.18,74.46,67.08,0.9577015036219713,10.774141915746993,237.54978381022724,240.94871332978775,235.36383783936836,0.10258493503089994,0.11526774201076478,28.13448660301976,24307.733711878558,81.0,18.0,-212.6738380911091,100
large_300c_20v_seed2,Large,300,20,2,3565.893119378543,3575.1552913820337,3426.597655594675,-0.2597433992947334,3.9063275067578047,4.155277846124872,3994.948746281483,3994.927492982624,4051.997487100518,74.87,74.69,68.78,0.24041671910757265,8.13409899647257,221.76415279958175,221.7801521006387,255.59107468701558,0.10021903705783189,0.11316793116275221,17.271472944924607,15161.674531577835,86.0,5.0,-139.29546378386746,100
large_300c_20v_seed3,Large,300,20,3,3625.77824390792,3681.819344029612,3407.4806259785173,-1.545629554588802,6.020710679043577,7.451172706123085,4172.770154550521,4319.092360491342,3951.824060521339,75.09,75.01,65.86,0.1065388186637503,12.291916203330459,240.52909117726216,250.83482021952938,231.68777612920596,0.09791262603830546,0.10816483668982983,25.41494402207434,23396.277382805056,92.0,13.0,-218.29761792940343,100
