instance,size,n_customers,n_vehicles,seed,A_offline_obj,B_offline_obj,offline_overhead_pct,A_avg_cost,B_avg_cost,delta_avg_cost_pct,A_worst_cost,B_worst_cost,delta_worst_cost_pct,A_avg_fail,B_avg_fail,delta_fail_pct,A_cost_std,B_cost_std,delta_std_pct,paired_cost_delta,A_win_count,B_win_count,A_win_rate,trial_count
large_180c_11v_seed1,Large,180,11,1,1552.8892671968422,582.9002245906491,166.40738872375337,1563.2227751869907,1862.5737599867343,16.07189960637455,1829.839754278192,2133.494987413469,14.232760560802246,36.95,52.32,29.37691075349941,134.72153452769612,138.78207083859664,2.9258363541530894,-299.3509847997437,96.0,4.0,96.0,100
large_180c_11v_seed2,Large,180,11,2,1591.095131064322,585.6361569263323,171.68662867659435,1585.6731456462624,1692.1612366318868,6.293022714406376,1850.3720741910379,1976.8349599831165,6.397240455174806,36.92,46.78,21.077383046657054,121.55932842271528,129.614799806267,6.214931731131611,-106.48809098562461,75.0,25.0,75.0,100
large_180c_11v_seed3,Large,180,11,3,1525.694777197713,543.5883293775437,180.67099581493358,1513.3505944791648,1743.3697067572093,13.193937659149551,1969.967090019908,2081.5362123119344,5.359941452476968,34.9,49.4,29.35222612647316,145.67583794441444,138.46249762498263,-5.2095985491123535,-230.0191122780444,94.0,6.0,94.0,100
large_200c_13v_seed1,Large,200,13,1,1834.5933799186973,646.9707861583838,183.56664924737015,1802.6822068143779,1954.2184805412655,7.754315867738402,2131.357459395438,2365.2703717169998,9.88947881470985,40.6,52.62,22.843025031489447,148.85112301400002,155.54692580201416,4.304683432631747,-151.53627372688746,75.0,25.0,75.0,100
large_200c_13v_seed2,Large,200,13,2,1917.043221057751,710.0403046432549,169.9907608795433,1927.1794868515065,2146.023738027897,10.197662183247738,2304.8783371008485,2474.722424864268,6.863157098224253,45.46,57.21,20.538367059283917,141.98766573686365,149.91717213014005,5.289258213528983,-218.84425117639023,88.0,12.0,88.0,100
large_200c_13v_seed3,Large,200,13,3,1846.5615971555885,689.6433489936121,167.75602198589354,1819.6954973634035,2094.167060889205,13.106478878970524,2253.2213099500354,2613.559285831935,13.787250889439786,43.79,58.44,25.0684458407179,151.7761155598302,147.15759047039526,-3.1384891824381893,-274.4715635258014,97.0,3.0,97.0,100
large_250c_15v_seed1,Large,250,15,1,2441.5266127471123,865.9355074381883,181.9524770349473,2408.7573765207653,2841.190654980999,15.22014292501345,2791.2969501465286,3216.402748706143,13.21680870751093,53.55,75.45,29.025844545714456,151.06215674744558,166.80851732420092,9.439782053666754,-432.43327846023357,97.0,3.0,97.0,100
large_250c_15v_seed2,Large,250,15,2,2632.47117050795,886.0438310198534,197.1039443362441,2666.6055512205976,2941.6090946836175,9.348745350292633,3085.4689198423175,3292.4139731953737,6.285511331134663,61.14,73.36,16.65757883509298,155.44295826961323,174.89729533738233,11.12329205492181,-275.00354346302004,87.0,13.0,87.0,100
large_250c_15v_seed3,Large,250,15,3,2512.221201263881,858.8937737709815,192.49498342896925,2486.026584363255,2784.2616291053328,10.711459067799947,2878.2290452797156,3199.119101866638,10.030575491849866,54.76,74.19,26.189513058505014,188.38649014419124,182.08923524345414,-3.4583345125999885,-298.23504474207743,88.0,12.0,88.0,100
large_280c_18v_seed1,Large,280,18,1,3058.6864623912174,1076.9526554411177,184.01308515631874,3036.9363519292237,3376.0538566392893,10.044789541587521,3492.047097964438,3966.614883525842,11.964049939215942,60.63,80.28,24.476830786287607,198.5541205392262,219.7968194202172,9.664697988068372,-339.1175047100657,87.0,13.0,87.0,100
large_280c_18v_seed2,Large,280,18,2,3104.191026739536,1070.719437155033,189.91637949410554,3102.7834137984687,3474.9807885943305,10.7107750355771,3540.7613128282073,4005.8537991724606,11.610321036687193,60.32,81.54,26.024036963158736,199.63205729859612,202.16752085535404,1.2541399001625892,-372.19737479586234,96.0,4.0,96.0,100
large_280c_18v_seed3,Large,280,18,3,3100.2855895331186,1060.8755719765588,192.23838039336272,3060.3733896990425,3390.4921999295225,9.736604326573648,3759.10365533717,4061.813480835021,7.452578187702021,62.96,78.59,19.888026213411045,214.19545378970588,223.72598666442127,4.259913197482786,-330.11881023048045,92.0,8.0,92.0,100
large_300c_20v_seed1,Large,300,20,1,3103.466603110668,1136.1029799567193,173.16771964007145,3077.789290364514,3623.1811487771483,15.052845442097437,3621.387963277237,4007.223335623926,9.62849684260521,65.84,89.49,26.427533507346805,190.26148317815583,176.03333747768664,-8.082642653665681,-545.3918584126343,99.0,1.0,99.0,100
large_300c_20v_seed2,Large,300,20,2,3258.18056776868,1181.9958306076737,175.6507665592714,3249.4010829607555,3630.302656013908,10.492281474718263,3792.2346403285774,4212.780900022945,9.982628332085284,64.32,84.75,24.106194405826624,202.17707699273706,218.66642288011712,7.540867772374728,-380.90157305315284,90.0,10.0,90.0,100
large_300c_20v_seed3,Large,300,20,3,3313.6664377131956,1176.3895685747505,181.68104565291696,3335.4059869006,3633.5104307589486,8.204309566164698,3912.208988526784,4124.516031804855,5.147441339564067,65.59,82.98,20.956856821440624,221.2052120544469,227.73872300142895,2.8688625422091447,-298.1044438583486,90.0,10.0,90.0,100
